Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-01-31,52.9,53.35,50.975,51.65,0.58,51.56,32205.0,3222.0
2020-01-30,53.075,53.2,51.65,52.95,1.19,52.14,22300.0,3166.0
2020-01-29,54.0,54.35,52.8,53.075,0.15,53.33,24008.0,3579.0
2020-01-28,52.8,54.05,52.675,54.025,0.34,53.48,19936.0,3613.0
2020-01-27,53.7,53.7,52.15,52.8,1.05,53.14,24364.0,3591.0
2020-01-24,55.7,55.95,53.875,54.15,1.4,54.19,19154.0,3351.0
2020-01-23,56.125,56.275,54.775,55.7,1.15,55.59,24048.0,3243.0
2020-01-22,58.275,58.375,56.075,56.075,1.64,56.74,18746.0,2612.0
2020-01-21,59.275,59.7,57.7,58.275,0.2,58.38,21877.0,2206.0
2020-01-17,58.575,59.0,58.3,58.575,0.02,58.54,1360.0,2568.0
2020-01-16,58.075,58.875,57.575,58.625,0.71,58.52,9120.0,3058.0
2020-01-15,58.15,58.35,57.375,58.1,0.42,57.81,13747.0,3405.0
2020-01-14,58.075,58.725,57.7,58.15,0.15,58.23,14494.0,3585.0
2020-01-13,59.1,59.275,57.9,58.05,0.96,58.08,15520.0,3464.0
2020-01-10,59.6,59.775,58.85,59.1,0.52,59.04,16432.0,3280.0
2020-01-09,60.025,60.3,58.65,59.6,0.05,59.56,20488.0,3136.0
2020-01-08,62.8,65.65,59.125,60.0,3.09,59.61,57069.0,2799.0
2020-01-07,62.9,63.15,62.1,62.7,0.57,62.7,17195.0,2805.0
2020-01-06,63.625,64.7,62.65,62.825,0.22,63.27,21040.0,2528.0
2020-01-03,61.175,64.1,61.125,63.075,1.87,63.05,31247.0,2538.0
2020-01-02,61.525,61.575,60.65,61.2,0.12,61.18,13250.0,2403.0
2019-12-31,61.65,61.9,60.625,61.175,0.62,61.06,14193.0,2777.0
2019-12-30,61.725,62.35,61.075,61.675,0.04,61.68,10774.0,2758.0
2019-12-27,61.775,61.975,61.25,61.7,0.04,61.72,10003.0,3030.0
2019-12-26,61.25,61.825,61.05,61.725,0.57,61.68,7704.0,2833.0
2019-12-24,60.6,61.175,60.475,61.175,0.59,61.11,5644.0,2625.0
2019-12-23,60.4,60.75,60.1,60.65,0.08,60.52,7859.0,2467.0
2019-12-20,61.075,61.2,60.025,60.325,0.74,60.44,13522.0,2805.0
2019-12-19,60.775,61.375,60.7,61.075,0.33,61.18,9813.0,2703.0
2019-12-18,60.5,61.175,60.3,60.95,0.01,60.93,1466.0,2267.0
2019-12-17,60.25,61.05,60.025,60.45,0.73,60.94,7042.0,2501.0
2019-12-16,59.825,60.35,59.75,60.225,0.14,60.21,8213.0,2515.0
2019-12-13,59.3,60.475,59.25,59.775,0.89,60.07,16689.0,2594.0
2019-12-12,58.9,59.75,58.75,59.3,0.42,59.18,13194.0,2424.0
2019-12-11,59.075,59.225,58.125,58.8,0.48,58.76,16293.0,2407.0
2019-12-10,58.9,59.525,58.525,59.125,0.22,59.24,14676.0,2427.0
2019-12-09,59.175,59.325,58.225,58.9,0.18,59.02,13626.0,2484.0
2019-12-06,58.3,59.85,57.7,59.2,0.77,59.2,21711.0,2635.0
2019-12-05,58.325,59.125,58.1,58.325,,58.43,21621.0,2730.0
2019-12-04,56.425,58.675,56.3,58.375,2.33,58.43,21461.0,2050.0
2019-12-03,55.95,56.8,55.35,56.325,0.14,56.1,18057.0,2092.0
2019-12-02,55.475,56.675,55.4,56.0,0.79,55.96,18946.0,2629.0
2019-11-29,58.15,58.3,55.025,55.4,2.94,55.17,24154.0,2152.0
2019-11-27,58.275,58.675,57.525,58.15,0.3,58.11,13802.0,2370.0
2019-11-26,57.875,58.55,57.75,58.35,0.4,58.41,14297.0,2269.0
2019-11-25,57.925,58.15,57.225,57.9,0.24,58.01,14604.0,2381.0
2019-11-22,58.3,58.75,57.525,57.975,0.81,57.77,16109.0,3031.0
2019-11-21,57.0,58.675,56.6,58.325,1.57,58.58,18114.0,2254.0
2019-11-20,55.3,57.375,54.875,57.075,1.66,57.01,21627.0,2056.0
2019-11-19,56.85,57.1,55.05,55.225,1.84,55.21,1320.0,1981.0
2019-11-18,57.875,58.075,56.55,56.825,0.67,57.05,9280.0,2575.0
2019-11-15,56.875,57.975,56.425,57.925,0.95,57.72,13703.0,2699.0
2019-11-14,57.4,57.775,56.625,56.925,0.35,56.77,15084.0,2814.0
2019-11-13,56.725,57.525,56.225,57.4,0.32,57.12,15429.0,2587.0
2019-11-12,56.875,57.55,56.55,56.775,0.06,56.8,15628.0,2618.0
2019-11-11,57.325,57.375,56.25,56.9,0.38,56.86,13347.0,2582.0
2019-11-08,57.075,57.475,55.75,57.475,0.09,57.24,18810.0,2714.0
2019-11-07,56.35,57.9,56.275,57.075,0.8,57.15,19886.0,2911.0
2019-11-06,57.25,57.85,56.1,56.375,0.88,56.35,21452.0,2803.0
2019-11-05,56.55,57.5,56.3,57.3,0.69,57.23,15307.0,2567.0
2019-11-04,56.375,57.425,55.825,56.5,0.34,56.54,16114.0,2336.0
2019-11-01,54.15,56.325,54.075,56.2,2.02,56.2,19239.0,2658.0
2019-10-31,54.925,55.6,53.725,54.15,0.88,54.18,19464.0,2451.0
2019-10-30,55.5,55.725,54.425,54.9,0.48,55.06,20634.0,2340.0
2019-10-29,55.75,55.9,54.6,55.475,0.27,55.54,15307.0,2066.0
2019-10-28,56.65,56.925,55.6,55.75,0.85,55.81,20749.0,2230.0
2019-10-25,56.05,56.75,55.625,56.65,0.43,56.66,14350.0,2420.0
2019-10-24,55.875,56.5,55.425,56.1,0.26,56.23,16267.0,2678.0
2019-10-23,54.35,56.075,53.625,55.9,1.49,55.97,20523.0,1964.0
2019-10-22,53.6,54.8,53.25,54.325,0.97,54.48,16939.0,2026.0
2019-10-21,53.625,54.025,52.75,53.275,0.47,53.31,1060.0,3438.0
2019-10-18,54.05,54.625,53.35,53.675,0.15,53.78,9217.0,3800.0
2019-10-17,53.025,54.15,52.625,54.125,0.57,53.93,15785.0,3888.0
2019-10-16,52.925,53.75,52.5,52.975,0.55,53.36,15963.0,4082.0
2019-10-15,53.525,53.8,52.4,52.9,0.78,52.81,18278.0,4024.0
2019-10-14,54.925,54.95,52.775,53.5,1.11,53.59,18016.0,4070.0
2019-10-11,53.85,54.95,53.625,54.925,1.15,54.7,25041.0,4138.0
2019-10-10,52.675,53.975,51.4,53.875,0.96,53.55,18976.0,4022.0
2019-10-09,52.5,53.75,52.325,52.625,0.04,52.59,19583.0,4089.0
2019-10-08,52.8,53.275,51.825,52.6,0.12,52.63,21052.0,4096.0
2019-10-07,52.7,54.05,52.575,52.775,0.06,52.75,18720.0,4102.0
2019-10-04,52.4,53.35,52.025,53.0,0.36,52.81,21624.0,3821.0
2019-10-03,52.45,52.9,51.0,52.3,0.19,52.45,23000.0,3757.0
2019-10-02,53.975,54.425,52.175,52.45,0.98,52.64,20559.0,3535.0
2019-10-01,54.275,54.825,53.05,54.0,0.45,53.62,18327.0,3782.0
2019-09-30,56.5,56.6,53.975,54.225,1.84,54.07,20730.0,3300.0
2019-09-27,56.525,56.75,54.75,56.175,0.5,55.91,27620.0,3247.0
2019-09-26,56.675,56.825,55.4,56.525,0.08,56.41,18081.0,2970.0
2019-09-25,56.775,57.025,55.55,56.65,0.8,56.49,21760.0,2258.0
2019-09-24,58.475,58.5,56.7,56.8,1.35,57.29,22070.0,2365.0
2019-09-23,59.1,59.4,57.375,58.475,0.55,58.64,22582.0,2224.0
2019-09-20,58.65,59.25,57.95,58.425,0.1,58.09,26589.0,2173.0
2019-09-19,58.175,59.5,58.025,58.125,0.02,58.13,1376.0,1619.0
2019-09-18,58.8,59.425,57.675,58.275,1.23,58.11,14316.0,2029.0
2019-09-17,61.975,62.575,58.475,58.75,3.56,59.34,68007.0,2564.0
2019-09-16,59.775,63.425,58.775,61.9,8.05,62.9,73835.0,2437.0
2019-09-13,55.1,55.675,54.45,54.775,0.24,54.85,18610.0,2451.0
2019-09-12,55.95,56.35,54.0,55.1,0.66,55.09,30234.0,2507.0
2019-09-11,57.925,58.275,55.6,55.95,1.65,55.75,25659.0,2916.0
2019-09-10,58.05,58.775,57.2,57.9,0.45,57.4,22024.0,3238.0
2019-09-09,56.675,58.175,56.6,58.025,1.33,57.85,15893.0,2961.0
2019-09-06,56.2,56.95,54.85,56.625,0.22,56.52,20571.0,2705.0
